rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:32795	ATP + H2O + L-cysteine(out) = ADP + H(+) + L-cysteine(in) + phosphate	CHEBI:15377,CHEBI:35235,CHEBI:30616	CHEBI:35235,CHEBI:456216,CHEBI:15378,CHEBI:43474	H2O,L-cysteine,ATP	L-cysteine,ADP,H(+),phosphate
RHEA:32803	ATP + H2O + urea(out) = ADP + H(+) + phosphate + urea(in)	CHEBI:15377,CHEBI:16199,CHEBI:30616	CHEBI:456216,CHEBI:16199,CHEBI:15378,CHEBI:43474	H2O,urea,ATP	ADP,urea,H(+),phosphate
RHEA:33223	2-oxobutanoate + CoA + NAD(+) = CO2 + NADH + propanoyl-CoA	CHEBI:57287,CHEBI:57540,CHEBI:16763	CHEBI:57945,CHEBI:57392,CHEBI:16526	CoA,NAD(+),2-oxobutanoate	NADH,propanoyl-CoA,CO2
RHEA:33439	glyoxal + H2O + O2 = glyoxylate + H(+) + H2O2	CHEBI:34779,CHEBI:15379,CHEBI:15377	CHEBI:16240,CHEBI:36655,CHEBI:15378	glyoxal,O2,H2O	H2O2,glyoxylate,H(+)
RHEA:33519	2 [Fe(II)-cytochrome b5] + 2 H(+) + O2 + sphinganine = 4-hydroxysphinganine + 2 [Fe(III)-cytochrome b5] + H2O	CHEBI:15379,CHEBI:15378,GENERIC:10438,CHEBI:57817	CHEBI:64124,CHEBI:15377,GENERIC:10439	O2,H(+),[Fe(II)-cytochrome b5],sphinganine	4-hydroxysphinganine,H2O,[Fe(III)-cytochrome b5]
RHEA:33607	(9Z)-octadecenoate + ATP + CoA = (9Z)-octadecenoyl-CoA + AMP + diphosphate	CHEBI:57287,CHEBI:30616,CHEBI:30823	CHEBI:33019,CHEBI:456215,CHEBI:57387	CoA,ATP,(9Z)-octadecenoate	diphosphate,AMP,(9Z)-octadecenoyl-CoA
RHEA:33615	ATP + CoA + octadecanoate = AMP + diphosphate + octadecanoyl-CoA	CHEBI:25629,CHEBI:57287,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:57394	octadecanoate,CoA,ATP	diphosphate,AMP,octadecanoyl-CoA
RHEA:33619	ATP + CoA + tetradecanoate = AMP + diphosphate + tetradecanoyl-CoA	CHEBI:30807,CHEBI:57287,CHEBI:30616	CHEBI:33019,CHEBI:57385,CHEBI:456215	tetradecanoate,CoA,ATP	diphosphate,tetradecanoyl-CoA,AMP
RHEA:33623	ATP + CoA + dodecanoate = AMP + diphosphate + dodecanoyl-CoA	CHEBI:18262,CHEBI:57287,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:57375	dodecanoate,CoA,ATP	diphosphate,AMP,dodecanoyl-CoA
RHEA:33631	ATP + CoA + octanoate = AMP + diphosphate + octanoyl-CoA	CHEBI:25646,CHEBI:57287,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:57386	octanoate,CoA,ATP	diphosphate,AMP,octanoyl-CoA
RHEA:33639	ATP + CoA + tetracosanoate = AMP + diphosphate + tetracosanoyl-CoA	CHEBI:31014,CHEBI:57287,CHEBI:30616	CHEBI:65052,CHEBI:33019,CHEBI:456215	tetracosanoate,CoA,ATP	tetracosanoyl-CoA,diphosphate,AMP
RHEA:33647	(9Z)-hexadecenoate + ATP + CoA = (9Z)-hexadecenoyl-CoA + AMP + diphosphate	CHEBI:32372,CHEBI:57287,CHEBI:30616	CHEBI:61540,CHEBI:33019,CHEBI:456215	(9Z)-hexadecenoate,CoA,ATP	(9Z)-hexadecenoyl-CoA,diphosphate,AMP
RHEA:33651	(9Z,12Z)-octadecadienoate + ATP + CoA = (9Z,12Z)-octadecadienoyl-CoA + AMP + diphosphate	CHEBI:57287,CHEBI:30616,CHEBI:30245	CHEBI:57383,CHEBI:33019,CHEBI:456215	CoA,ATP,(9Z,12Z)-octadecadienoate	(9Z,12Z)-octadecadienoyl-CoA,diphosphate,AMP
RHEA:33747	a 1-acyl-sn-glycerol + ATP = a 1-acyl-sn-glycero-3-phosphate + ADP + H(+)	CHEBI:30616,CHEBI:64683	CHEBI:456216,CHEBI:15378,CHEBI:57970	ATP,a 1-acyl-sn-glycerol	ADP,H(+),a 1-acyl-sn-glycero-3-phosphate
RHEA:33943	H(+) + 2 L-arginine + 3 NADH + 4 O2 = 4 H2O + 2 L-citrulline + 3 NAD(+) + 2 nitric oxide	CHEBI:15379,CHEBI:57945,CHEBI:15378,CHEBI:32682	CHEBI:15377,CHEBI:57540,CHEBI:16480,CHEBI:57743	O2,NADH,H(+),L-arginine	H2O,NAD(+),nitric oxide,L-citrulline
RHEA:34283	2 L-tyrosine + O2 = 2 L-dopa	CHEBI:58315,CHEBI:15379	CHEBI:57504	L-tyrosine,O2	L-dopa
RHEA:34999	ADP(in) + ATP(out) = ADP(out) + ATP(in)	CHEBI:456216,CHEBI:30616	CHEBI:456216,CHEBI:30616	ADP,ATP	ADP,ATP
RHEA:36439	a 1,2-diacyl-sn-glycero-3-phosphoethanolamine(in) + ATP + H2O = a 1,2-diacyl-sn-glycero-3-phosphoethanolamine(out) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:30616,CHEBI:64612	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:64612	H2O,ATP,a 1,2-diacyl-sn-glycero-3-phosphoethanolamine	ADP,H(+),phosphate,a 1,2-diacyl-sn-glycero-3-phosphoethanolamine
RHEA:36863	(9Z)-octadecenoyl-CoA + AH2 + O2 = (9Z,12Z)-octadecadienoyl-CoA + A + 2 H2O	CHEBI:15379,CHEBI:17499,CHEBI:57387	CHEBI:57383,CHEBI:15377,CHEBI:13193	O2,AH2,(9Z)-octadecenoyl-CoA	(9Z,12Z)-octadecadienoyl-CoA,H2O,A
RHEA:36931	2 [Fe(II)-cytochrome b5] + 2 H(+) + hexadecanoyl-CoA + O2 = (9Z)-hexadecenoyl-CoA + 2 [Fe(III)-cytochrome b5] + 2 H2O	CHEBI:15379,CHEBI:15378,CHEBI:57379,GENERIC:10438	CHEBI:61540,CHEBI:15377,GENERIC:10439	O2,H(+),hexadecanoyl-CoA,[Fe(II)-cytochrome b5]	(9Z)-hexadecenoyl-CoA,H2O,[Fe(III)-cytochrome b5]
RHEA:37795	2 H(+) + 2 NADPH + O2 = 2 H2O + 2 NADP(+)	CHEBI:15379,CHEBI:15378,CHEBI:57783	CHEBI:15377,CHEBI:58349	O2,H(+),NADPH	H2O,NADP(+)
RHEA:37799	2 H(+) + 2 NADH + O2 = 2 H2O + 2 NAD(+)	CHEBI:15379,CHEBI:57945,CHEBI:15378	CHEBI:15377,CHEBI:57540	O2,NADH,H(+)	H2O,NAD(+)
RHEA:37971	H(+) + NADPH + O2 + octadecanoyl-CoA = (9Z)-octadecenoyl-CoA + 2 H2O + NADP(+)	CHEBI:15379,CHEBI:15378,CHEBI:57783,CHEBI:57394	CHEBI:15377,CHEBI:58349,CHEBI:57387	O2,H(+),NADPH,octadecanoyl-CoA	H2O,NADP(+),(9Z)-octadecenoyl-CoA
RHEA:38191	3 O2 + 3 reduced [NADPH--hemoprotein reductase] + testosterone = 17beta-estradiol + formate + 4 H(+) + 4 H2O + 3 oxidized [NADPH--hemoprotein reductase]	GENERIC:11964,CHEBI:15379,CHEBI:17347	GENERIC:11965,CHEBI:15377,CHEBI:15740,CHEBI:15378,CHEBI:16469	reduced [NADPH--hemoprotein reductase],O2,testosterone	oxidized [NADPH--hemoprotein reductase],H2O,formate,H(+),17beta-estradiol
RHEA:38195	androst-4-ene-3,17-dione + 3 O2 + 3 reduced [NADPH--hemoprotein reductase] = estrone + formate + 4 H(+) + 4 H2O + 3 oxidized [NADPH--hemoprotein reductase]	GENERIC:11964,CHEBI:15379,CHEBI:16422	GENERIC:11965,CHEBI:15377,CHEBI:15740,CHEBI:15378,CHEBI:17263	reduced [NADPH--hemoprotein reductase],O2,androst-4-ene-3,17-dione	oxidized [NADPH--hemoprotein reductase],H2O,formate,H(+),estrone
RHEA:38567	1,2-diacyl-sn-glycero-3-phospho-L-serine(out) + ATP + H2O = 1,2-diacyl-sn-glycero-3-phospho-L-serine(in) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:30616,CHEBI:57262	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:57262	H2O,ATP,1,2-diacyl-sn-glycero-3-phospho-L-serine	ADP,H(+),phosphate,1,2-diacyl-sn-glycero-3-phospho-L-serine
RHEA:38583	a 1,2-diacyl-sn-glycero-3-phosphocholine(out) + ATP + H2O = a 1,2-diacyl-sn-glycero-3-phosphocholine(in) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:57643,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:57643,CHEBI:43474	H2O,a 1,2-diacyl-sn-glycero-3-phosphocholine,ATP	ADP,H(+),a 1,2-diacyl-sn-glycero-3-phosphocholine,phosphate
RHEA:38679	ATP + H2O + sphinganine(in) = ADP + H(+) + phosphate + sphinganine(out)	CHEBI:15377,CHEBI:30616,CHEBI:57817	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:57817	H2O,ATP,sphinganine	ADP,H(+),phosphate,sphinganine
RHEA:38683	ATP + H2O + sphing-4-enine(in) = ADP + H(+) + phosphate + sphing-4-enine(out)	CHEBI:15377,CHEBI:30616,CHEBI:57756	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:57756	H2O,ATP,sphing-4-enine	ADP,H(+),phosphate,sphing-4-enine
RHEA:38687	4-hydroxysphinganine(in) + ATP + H2O = 4-hydroxysphinganine(out) + ADP + H(+) + phosphate	CHEBI:64124,CHEBI:15377,CHEBI:30616	CHEBI:64124,CHEBI:456216,CHEBI:15378,CHEBI:43474	4-hydroxysphinganine,H2O,ATP	4-hydroxysphinganine,ADP,H(+),phosphate
RHEA:38715	ATP + choline(out) + H2O = ADP + choline(in) + H(+) + phosphate	CHEBI:15377,CHEBI:15354,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:15354,CHEBI:43474	H2O,choline,ATP	ADP,H(+),choline,phosphate
RHEA:38719	(R)-carnitine(out) + ATP + H2O = (R)-carnitine(in) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:16347,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:16347,CHEBI:43474	H2O,(R)-carnitine,ATP	ADP,H(+),(R)-carnitine,phosphate
RHEA:38903	ATP + H2O + sphingomyelin(in) = ADP + H(+) + phosphate + sphingomyelin(out)	CHEBI:15377,CHEBI:30616,CHEBI:17636	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:17636	H2O,ATP,sphingomyelin	ADP,H(+),phosphate,sphingomyelin
RHEA:38967	an N-acylsphing-4-enine(in) + ATP + H2O = ADP + an N-acylsphing-4-enine(out) + H(+) + phosphate	CHEBI:15377,CHEBI:52639,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:52639,CHEBI:43474	H2O,an N-acylsphing-4-enine,ATP	ADP,H(+),an N-acylsphing-4-enine,phosphate
RHEA:39051	ATP + cholesterol(in) + H2O = ADP + cholesterol(out) + H(+) + phosphate	CHEBI:15377,CHEBI:16113,CHEBI:30616	CHEBI:456216,CHEBI:16113,CHEBI:15378,CHEBI:43474	H2O,cholesterol,ATP	ADP,cholesterol,H(+),phosphate
RHEA:39279	ATP + dodecanoate(out) + H2O = ADP + dodecanoate(in) + H(+) + phosphate	CHEBI:18262,CHEBI:15377,CHEBI:30616	CHEBI:18262,CHEBI:456216,CHEBI:15378,CHEBI:43474	dodecanoate,H2O,ATP	dodecanoate,ADP,H(+),phosphate
